PRODUCT_ID*31,MANUFACTURER,MAIN_CATEGORY
345448717,Apple,Laptop
353302753,Tamron,Kameras
105646977,Canon,Kameras
251939263,Microsoft,Konsolen
353595424,Xiaomi,Handy
322156712,Sony,Kameras
343747809,Xiaomi,Handy
275074067,Apple,Laptop
335720917,Apple,Laptop
346597112,Microsoft,Tablets
348663169,Apple,Wearables
352607919,Apple,Handy
319787320,Apple,Laptop
339664799,,Kameras
380173894,Apple,Wearables
380436557,Apple,Laptop
91534878,Motorola,Handy
354230862,Apple,Laptop
380436619,Apple,Laptop
380438851,Apple,Laptop
332423974,JBL,Audio & Hifi
354271100,Caseable,Electronic Accessories
353301854,Microsoft,Tablets
337147971,Apple,Laptop
354230769,Apple,Laptop
225164532,Samsung,Handy
348756820,Huawei,Handy
352331213,Microsoft,Tablets
347853480,Apple,Laptop
62369892,Apple,Apple
353302474,Nikon,Kameras
347853449,Apple,Laptop
251932443,Samsung,Tablets
380174328,Apple,Wearables
330115342,Bose,Audio & Hifi
335721196,Apple,Laptop
380226532,Apple,Wearables
353302040,Canon,Kameras
354234458,Apple,Laptop
319345322,Panasonic,Kameras
339664365,Huawei,Handy
354230521,Apple,Laptop
351064677,Google,Handy
278099636,Panasonic,Kameras
380229043,Apple,Wearables
337448175,Apple,Laptop
267501480,Lenovo,Tablets
353099393,Microsoft,Tablets
327380367,HTC,Handy
354180456,Apple,Laptop
353953877,Apple,Laptop
340083919,Apple,Laptop
354173171,Nikon,Kameras
378814420,Samsung,Tablets
341846238,Sigma,Kameras
338432084,Creative,Audio & Hifi
341844533,Apple,Tablets
319819126,Sony,Kameras
284442112,ZTE,Handy
409727,Nintendo,Konsolen
319993687,Apple,Handy
316010280,Samsung,Handy
319949915,TomTom,Wearables
226791908,Oppo,Handy
291342681,Pentax,Kameras
318410269,Sony,Handy
346409810,Apple,Wearables
333551723,Lenovo,Tablets
309530691,Canon,Kameras
310251565,Apple,Laptop
322127975,Samsung,Tablets
323250485,fitbit,Wearables
341844440,Apple,Tablets
327403772,harmankardon,Audio & Hifi
35978104,Apple,Apple
313068287,Nikon,Kameras
350319251,Canon,Kameras
345032387,Apple,Laptop
341257858,Apple,Handy
340380093,Klipsch,Audio & Hifi
341806248,Riva,Audio & Hifi
106752189,Nikon,Kameras
326960534,Huawei,Handy
348756851,Garmin,Wearables
323347143,Apple,Wearables
319602715,Acer,Tablets
121785608,LGElectronics,Handy
333820927,Garmin,Wearables
320576394,HTC,Handy
348660751,Apple,Tablets
290926320,Microsoft,Konsolen
327161476,Wiko,Handy
322149117,Canon,Kameras
330382965,Apple,Tablets
346343067,Nintendo,Konsolen
352794725,Google,Handy
332507829,Apple,Wearables
334431658,Garmin,Wearables
330222540,Sony,Audio & Hifi
341016740,Xiaomi,Handy
342988309,YI,Kameras
338432673,Denon,Audio & Hifi
338487047,Panasonic,Audio & Hifi
319795597,HTC,Handy
323505677,Apple,Tablets
348045494,Samsung,Handy
322260407,Bose,Audio & Hifi
323345035,Sony,Handy
330383213,Apple,Tablets
323346802,Apple,Wearables
451515,Nintendo,Konsolen
327379499,HTC,Handy
305478247,Samsung,Handy
342634816,Sony,Audio & Hifi
354154447,Samsung,Handy
305759913,Sony,Tablets
338346493,Asus,Tablets
347134652,Apple,Laptop
223252452,Samsung,Handy
335592608,Apple,Wearables
341500371,Nikon,Kameras
342152053,Garmin,Wearables
348045370,Samsung,Handy
319823559,Sigma,Kameras
334009407,Sennheiser,Audio & Hifi
378703192,Apple,Handy
2108217,Nintendo,Konsolen
341423150,Sony,Konsolen
323216416,Canon,Kameras
309499598,Fujifilm,Kameras
323853776,Acer,Tablets
347597885,Lenovo,Tablets
318511019,Apple,Handy
339009211,Sigma,Kameras
319791009,Apple,Tablets
319885683,Sigma,Kameras
329924351,Panasonic,Kameras
318272660,Apple,Apple
291145986,Sony,Konsolen
378185151,Samsung,Wearables
352605966,Apple,Tablets
323342679,Apple,Wearables
350320739,Huawei,Handy
291341813,Panasonic,Kameras
268850910,Huawei,Handy
327161197,Wiko,Handy
350534825,Samsung,Handy
350534732,Samsung,Handy
353302598,Samsung,Tablets
352414045,Samsung,Tablets
323346585,Apple,Wearables
319977381,Sony,Handy
346228584,Apple,Wearables
352605873,Apple,Tablets
